颜色,名字,盒号,行,列
fff3eb,E16,9,1,4
fae8f8,E17,9,2,5
fdd1ea,E18,9,2,4
f6d3f3,E19,9,2,3
f4d7e9,E20,9,2,6
d6b3b9,E21,11,1,4
c685b0,E22,11,1,5
a089a3,E23,11,2,6
fda098,F1,4,1,3
fda098,F1_2,D,2,4
fa6a62,F2,4,2,4
fa6a62,F2_2,D,2,5
ec4a59,F3,4,3,4
ec4a59,F3_2,D,2,6
ff452c,F4,4,4,3
ff452c,F4_2,D,4,3
ff0000,F5,1,3,4
ff0000,F5_2,D,4,4
b53710,F6,4,4,4
b53710,F6_2,D,3,6
811530,F7,3,4,6
811530,F7_2,D,4,6
bb082f,F8,2,4,5
bb082f,F8_2,D,4,5
e67088,F9,4,2,3
e67088,F9_2,D,3,5
8c420c,F10,3,3,6
8c420c,F10_2,C,2,6
6f3329,F11,4,3,5
6f3329,F11_2,C,3,6
f9425e,F12,4,3,3
f9425e,F12_2,D,1,6
d14b30,F13,2,3,5
d14b30,F13_2,D,3,4
fdaca9,F14,4,2,2
fdaca9,F14_2,D,1,5
dd0c2c,F15,11,1,1
fddedc,F16,9,1,5
fbaf9f,F17,9,1,6
e0804d,F18,11,2,4
c64b60,F19,11,1,2
ddb09b,F20,11,2,2
e54f40,F25,11,2,1
fee5c7,G1,1,1,5
fee5c7,G1_2,E,2,4
fcceb7,G2,3,1,6
fcceb7,G2_2,E,2,3
f9c2a4,G3,3,2,6
f9c2a4,G3_2,E,2,2
dcb99a,G4,6,2,4
f2a76d,G5,1,2,5
f2a76d,G5_2,E,3,2
ee9867,G6,5,1,6
ee9867,G6_2,E,3,1
91664e,G7,1,3,5
91664e,G7_2,C,3,5
4d312c,G8,2,4,6
4d312c,G8_2,C,4,6
eabb85,G9,2,2,6
eabb85,G9_2,E,3,3
bf9143,G10,6,4,3
e4c896,G11,6,2,3
ddb986,G12,6,3,3
d19058,G13,2,3,6
d19058,G13_2,C,2,5
856a54,G14,4,2,5
856a54,G14_2,E,4,1
f5f3dc,G15,6,1,2
f2dfce,G16,6,1,5
5d5249,G17,4,4,5
5d5249,G17_2,E,4,3
ffedd9,G18,10,1,5
eca450,G19,11,2,3
b0623e,G20,11,1,3
cb906e,G21,11,2,5
f5f5f5,H1,E,1,6
ffffff,H2,1,4,2
ffffff,H2_2,E,1,5
aeaeae,H3,1,4,3
aeaeae,H3_2,E,3,5
979296,H4,1,4,4
979296,H4_2,E,3,6
606060,H5,1,4,5
606060,H5_2,E,4,4
353537,H6,4,4,6
353537,H6_2,E,4,5
000000,H7,1,4,6
000000,H7_2,E,4,6
f7e6f0,H8,6,1,1
e6e3dc,H9,6,1,6
e5e2f3,H10,6,2,1
cecdcb,H11,6,3,6
fff2e2,H12,5,3,1
fff2e2,H12_2,E,2,6
ece1cb,H13,6,1,4
c5ced8,H14,6,2,6
9facc7,H15,10,4,1
241d1a,H16,11,4,1
f6f4f5,H17,9,1,1
fffdf1,H18,9,1,2
f8f3eb,H19,9,1,3
a0acb1,H20,10,4,2
e5dac4,H21,10,1,6
c0c2bf,H22,10,4,4
9b9e8d,H23,10,4,3
ccd7c9,M1,6,2,2
91aa94,M2,6,3,2
718898,M3,6,4,2
dacec2,M4,6,2,5
dbd6b6,M5,4,1,6
dbd6b6,M5_2,C,1,5
c8b999,M6,4,1,5
c8b999,M6_2,C,1,6
c1aca7,M7,6,3,5
b09699,M8,6,4,5
ab9787,M9,4,2,6
ab9787,M9_2,E,3,4
bb9fb9,M10,6,3,1
9b809f,M11,6,4,1
5a474c,M12,4,3,6
5a474c,M12_2,E,4,2
dda89a,M13,6,3,4
c0725d,M14,6,4,4
86848a,M15,6,4,6
DFD7D4,P1,7,1,5
969696,P2,7,3,5
76A473,P3,7,1,3
F16B68,P4,7,3,1
E08B38,P5,7,3,2
43A689,P6,7,2,3
EDAD7F,P7,7,2,1
F5D825,P8,7,4,6
C9C8C3,P9,7,2,5
B8B1D3,P10,8,1,1
E9DDCD,P11,7,2,6
C9D0D6,P12,7,1,4
B1C5DE,P13,7,2,4
4177A3,P14,7,3,4
4D6555,P15,7,3,3
F4D070,P16,7,1,2
EE9A03,P17,7,2,2
F8C0A7,P18,7,1,1
EFDBDC,P19,7,4,5
EAB9BC,P20,7,4,4
DEA8A8,P21,7,4,3
C7887F,P22,7,4,2
A85863,P23,7,4,1
F9F9F9,T1,7,1,6
D32325,R1,8,3,3
FC4595,R2,8,3,2
FFA827,R3,8,2,3
FDEE0F,R4,8,2,4
26B654,R5,8,2,5
00A688,R6,8,3,5
1A6990,R7,8,3,6
1475C6,R8,8,2,6
7F4A9C,R9,8,3,1
FFDF42,R10,8,3,4
F6BDC4,R11,8,1,2
454142,R13,8,4,2
FD88BF,Y1,8,2,2
FDB881,Y2,8,1,3
CAE1AB,Y3,8,1,4
8ECBE0,Y4,8,1,6
CC7BCA,Y5,8,2,1
